sigma_noise,sigma_gp,lambda,beta0,ell0,beta1,ell1,beta2,ell2
63.652578952005015,73.084145729663,1.8989961637912516,1.1690627699169906e-06,3.517213484843125,1.1542199016222081e-06,5.574108032939933,4.019749364030165e-07,5.780899615607427
61.137513418506146,70.3624763013562,2.1735007685980445,3.787167182379933e-07,3.4387688622297343,9.67377421909353e-07,5.1627387055191445,8.618730402472274e-07,7.73218631609703
60.5141153085093,81.57397392350711,2.0698817109987764,3.6964669802383473e-07,3.3636687355204633,6.943012904150363e-07,5.703209500397263,9.932378999937086e-07,8.276304228462033
61.70444397741374,60.00741142964356,2.2774146776414828,2.1262459560764765e-07,4.1119498335078175,1.2417186924328448e-06,5.409947390886605,9.416362987041238e-09,11.138822919583923
59.64699810601381,95.9374863289489,1.299008797450707,7.651265452340288e-07,2.5054115110122237,-1.9051388674352683e-06,3.765174927001554,1.697606259315233e-06,7.067847726779873
62.9946312246871,104.33349113257384,1.6382024368871604,7.34619786944048e-09,4.886934405336322,2.16242766604232e-06,4.092131407178825,-7.863138884074442e-07,6.1522251197660545
58.186040171212795,101.92583673033492,1.3416607087662173,7.048634496650302e-07,3.033685715046536,-6.964311564796408e-07,3.179629630561771,-1.5170480688226072e-06,9.007642761576005
59.31306941833887,174.7204387386117,1.8281053401306877,-3.145854916695827e-07,7.949364065238051,-6.658314243172971e-08,4.566240526520743,8.922095848240448e-08,13.322163115712632
60.88966203061159,139.13497065969383,1.1148112593508859,-1.0554309901979667e-06,8.706861529101209,1.3355950365862071e-06,6.519252831977233,-2.2785944270962516e-07,8.928555801377165
61.10289202209606,90.69883265152062,1.1817290517091505,4.663525140545792e-07,2.234229111831853,3.860744672859249e-08,3.2923783759894882,-3.3565872089332334e-07,12.837638281104612
61.10289202209606,90.69883265152062,1.1817290517091505,4.663525140545792e-07,2.234229111831853,3.860744672859249e-08,3.2923783759894882,-3.3565872089332334e-07,12.837638281104612
61.320348894448074,85.79224455693411,1.4518304590785305,3.465846928491388e-07,2.3887033237958204,6.089249684070837e-07,2.794016776588496,-3.797753161784936e-07,11.846940669801821
57.5993056672088,113.66884701616566,1.5400913352463717,8.10112234723622e-08,3.237755039312436,-2.880383090343712e-07,9.964010273253448,-3.4091968082722146e-08,3.9189462465024993
57.21719445074607,118.46948929002734,1.5539764020895375,-9.641860068312894e-08,2.9028660089773424,6.94515847123424e-07,10.30025677917239,-8.698693920721959e-09,4.3490925661871636
62.97672056986264,96.67617502858421,0.8265101382074712,-7.859582766438226e-08,2.952610080820638,-5.953968779444401e-07,2.9941987994253063,-5.281286714319212e-07,8.206713427541798
63.083239479713555,92.45163870286743,0.8686239400675201,-6.193186869250899e-07,2.6443626736490864,-3.523488702382695e-07,3.267733332442174,-1.579211520135285e-07,6.902009485949529
62.222130661632434,87.1108375245935,0.8932247971396942,-5.705096376975501e-07,2.3927777946601987,-7.518981653888708e-07,3.639902091386659,6.830007557722151e-08,8.114064232063557
62.179212464416395,101.3164529973061,1.0510544324385502,1.562906215405356e-07,4.267667222364911,4.840029224101063e-07,4.307104378088326,5.790753774865646e-07,3.1461041740388977
62.154601072516925,76.11665662000489,1.277657899546423,-4.2282905946070255e-07,4.009599927301488,-1.2203412363782935e-06,4.29087465261359,3.6378424256903083e-07,3.306054792397471
62.154601072516925,76.11665662000489,1.277657899546423,-4.2282905946070255e-07,4.009599927301488,-1.2203412363782935e-06,4.29087465261359,3.6378424256903083e-07,3.306054792397471
62.11307601724609,86.25039514342745,1.180491547179466,2.3081522675318195e-07,4.38472455095058,-1.082278022907219e-07,7.0841830981000715,-4.814253101358023e-07,6.377894130847571
60.78693869348316,73.54107992662195,1.0312020683751777,-2.4087906801957353e-07,3.66662003045584,1.573356407783918e-07,4.294041822261255,1.6781798653909394e-06,10.091862778235228
61.99953244629425,93.06661038660557,1.2698842849159917,1.2568291929985383e-06,2.90159112373528,-1.0401129009042962e-07,5.983206462896091,6.826051925587345e-07,11.36206772218937
61.43478581818362,141.49654257759755,0.8691301955354113,1.3827635395025227e-06,2.7178673544901972,-9.00704850527105e-07,7.080703442158539,-3.846565837010866e-07,5.860864349861783
61.190743548850165,137.745143788088,0.869025419386811,1.4788312970349065e-06,2.861532377799081,-1.0212532060351253e-06,6.639684132801704,-3.3763596515133935e-07,8.005911550129603
59.24753570363617,98.16452697029635,1.0764789602963927,-3.676288618014199e-07,5.487549460349569,4.6534365995159593e-07,5.285915766002236,4.39250902761024e-07,7.741196673125799
59.24753570363617,98.16452697029635,1.0764789602963927,-3.676288618014199e-07,5.487549460349569,4.6534365995159593e-07,5.285915766002236,4.39250902761024e-07,7.741196673125799
59.58167412743985,115.45751916110473,1.3478770859255562,-9.189843164098151e-07,6.129421945104636,-1.2871082378414481e-07,5.335669257565537,6.637868428981554e-07,6.504773507528957
59.710003032950176,114.82357049827041,2.347330920042897,-4.134538302656399e-07,2.7626979140744257,1.0960354583273141e-06,3.1793599636768146,-4.286253036251353e-07,11.270167236481786
